,,,,,,,2089032 ,,,,,,,,2423806 ,,,,,,,,1247133 ,,,,,,,,997935 ,,,,,,,,1163733 ,,,,,,,,966968 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,50%,プラス1,17808395 ,,60%,,21370074.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,原案,15988395 ,,,,19186074.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,マイナ1,14168395 ,,,,17002074.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
バックデータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,プラン,6名,5名,4名,3名,2名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
料金表,1,138000,23000,27600,34500,46000,69000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,128000,21300,25600,32000,42600,64000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,118000,19600,23600,29500,39300,59000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,108000,18000,21600,27000,36000,54000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,98000,16300,19600,24500,32600,49000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,88000,14600,17600,22000,29300,44000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,78000,13000,15600,19500,26000,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,68000,11300,13600,17000,22600,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,58000,9600,11600,14500,19300,29000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
